--- Monday ---
"Monday Hours: 7am-7pm (Summer Hours) ","Shallow & Mini Lane","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","Bulk Head","Lane 9","Lane 10","Lane 11","Lane 12","Lane 13","Lane 14","Lane 15","DEEP"
"7:00 AM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","","","","","","","",""
"8:00 AM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","","","","","","","",""
"9:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"10:00 AM","Senior Hour
10-11 AM","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"11:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"12:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"1:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"2:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"3:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","Deep End Closed for cleaning @ 3:30pm (weekdays)","","","","","","",""
"4:00 PM","slow","jogging","slow","slow","medium","medium","medium","medium","Youth ","","","","","USF Youth Swimming (4-6pm)","","","",""
"5:00 PM","slow","jogging","slow","slow","medium","medium","medium","medium","Swim","","","","","","","","",""
"6:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","Masters","","","","","USF Masters (6-7pm)","","","",""

--- Tuesday ---
"Tuesday Hours: 7am-7pm (Summer Hours) ","Shallow & Mini Lane","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","Bulk Head","Lane 9","Lane 10","Lane 11","Lane 12","Lane 13","Lane 14","Lane 15","DEEP"
"7:00 AM","slow","jogging","slow","slow","slow","medium","","","","","","","","","","","",""
"8:00 AM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","","","","","","","",""
"9:00 AM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","medium","medium","medium","fast","fast","fast","fast","fast"
"10:00 AM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","medium","medium","medium","fast","fast","fast","fast","fast"
"11:00 AM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","medium","medium","medium","fast","fast","fast","fast","fast"
"12:00 PM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","medium","medium","medium","fast","fast","fast","fast","fast"
"1:00 PM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","medium","medium","medium","fast","fast","fast","fast","fast"
"2:00 PM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","medium","medium","medium","fast","fast","fast","fast","fast"
"3:00 PM","slow","jogging","slow","slow","slow","medium","medium","fast","fast","","Deep End Closed for cleaning @ 3:30pm (weekdays)","","","","","","",""
"4:00 PM","Swim","jogging","slow","slow","medium","medium","medium","fast","Youth ","","","","","USF Youth Swimming (4-6pm)","","","",""
"5:00 PM","Lessons","jogging","slow","slow","medium","medium","medium","fast","","","","","","","","","",""
"6:00 PM","slow","jogging","slow","slow","medium","medium","medium","fast","Masters","","","","","USF Masters (6-7pm)","","","",""

--- Wednesday ---
"Wednesday Hours: 7am-7pm (Summer Hours) ","Shallow & Mini Lane","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","Bulk Head","Lane 9","Lane 10","Lane 11","Lane 12","Lane 13","Lane 14","Lane 15","DEEP"
"7:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","","","","USF Masters (7:30-8:30am)","","","",""
"8:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","","","","","","","",""
"9:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"10:00 AM","Senior Hour
10-11 AM","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"11:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"12:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"1:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"2:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
"3:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","fast","","Deep End Closed for cleaning @ 3:30pm (weekdays)","","","","","","",""
"4:00 PM","slow","jogging","slow","slow","medium","medium","medium","medium","Youth ","","USF Youth Swimming (4-6pm)","","","","","","",""
"5:00 PM","slow","jogging","slow","slow","medium","medium","medium","medium","Swim","","","","","","","","",""
"6:00 PM","slow","jogging","slow","slow","medium","medium","medium","fast","Masters","","USF Masters (6-7:15pm)","","","","","","",""

--- Thursday ---
"Thursday Hours: 7am-7pm (Summer Hours) ","Shallow & Mini Lane","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","Bulk Head","Lane 9","Lane 10","Lane 11","Lane 12","Lane 13","Lane 14","Lane 15","DEEP",""
"7:00 AM","slow","jogging","slow","slow","slow","slow","","","","","","","","","","","","",""
"8:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","fast","","","","","","","","","",""
"9:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast",""
"10:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast",""
"11:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast",""
"12:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast",""
"1:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast",""
"2:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast",""
"3:00 PM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","Deep End Closed for cleaning @ 3:30pm (weekdays)","","","","","","","",""
"4:00 PM","Swim","jogging","slow","slow","medium","medium","medium","fast","Youth ","","USF Youth Swimming (4-6pm)","","","","","","","",""
"5:00 PM","Lessons","jogging","slow","slow","medium","medium","medium","fast","Swim","","","","","","","","","",""
"6:00 PM","slow","jogging","slow","slow","medium","medium","medium","fast","Masters","","","","","USF Masters (6-7:15pm)","","","","",""

--- Friday ---
"Friday Hours: 7am-7pm (Summer Hours) ","Shallow & Mini Lane","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","Bulk Head","Lane 9","Lane 10","Lane 11","Lane 12","Lane 13","Lane 14","Lane 15","DEEP"
"7:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","","","","USF Masters (7:30-8:30am)","","","",""
"8:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","","","","","","","",""
"9:00 AM","slow","jogging","slow","slow","slow","slow","medium","medium","medium","","medium","medium","medium","fast","fast","fast","fast","fast"
